---------- Consulta 1 ----------
{'load_database': ['Airports']}
generator
Aeropuerto(id='00A', nombre='heliport', latitud=40.07080078125, longitud=-74.93360137939453, iso='US')
Aeropuerto(id='00AA', nombre='small_airport', latitud=38.704022, longitud=-101.473911, iso='US')
Aeropuerto(id='00AK', nombre='small_airport', latitud=59.94919968, longitud=-151.695999146, iso='US')
Aeropuerto(id='00AL', nombre='small_airport', latitud=34.86479949951172, longitud=-86.77030181884766, iso='US')
Aeropuerto(id='00AR', nombre='closed', latitud=35.6087, longitud=-91.254898, iso='US')
Aeropuerto(id='00AS', nombre='small_airport', latitud=34.9428028, longitud=-97.8180194, iso='US')
Aeropuerto(id='00AZ', nombre='small_airport', latitud=34.305599212646484, longitud=-112.16500091552734, iso='US')
Aeropuerto(id='00CA', nombre='small_airport', latitud=35.350498199499995, longitud=-116.888000488, iso='US')
Aeropuerto(id='00CL', nombre='small_airport', latitud=39.427188, longitud=-121.763427, iso='US')
Aeropuerto(id='00CN', nombre='heliport', latitud=32.7273736, longitud=-116.4597417, iso='US')
Aeropuerto(id='00CO', nombre='closed', latitud=40.622202, longitud=-104.344002, iso='US')
Aeropuerto(id='00FA', nombre='small_airport', latitud=28.64550018310547, longitud=-82.21900177001953, iso='US')
Aeropuerto(id='00FD', nombre='heliport', latitud=28.846599578857422, longitud=-82.34539794921875, iso='US')
Aeropuerto(id='00FL', nombre='small_airport', latitud=27.230899810791016, longitud=-80.96920013427734, iso='US')
Aeropuerto(id='00GA', nombre='small_airport', latitud=33.76750183105469, longitud=-84.06829833984375, iso='US')
Aeropuerto(id='00GE', nombre='heliport', latitud=33.88420104980469, longitud=-84.73390197753906, iso='US')
Aeropuerto(id='00HI', nombre='heliport', latitud=19.832715, longitud=-155.980233, iso='US')
Aeropuerto(id='00ID', nombre='small_airport', latitud=48.145301818847656, longitud=-116.21399688720703, iso='US')
Aeropuerto(id='00IG', nombre='small_airport', latitud=39.724028, longitud=-101.395994, iso='US')
Aeropuerto(id='00II', nombre='heliport', latitud=41.644500732421875, longitud=-87.122802734375, iso='US')
Aeropuerto(id='00IL', nombre='small_airport', latitud=41.97840118408203, longitud=-89.5604019165039, iso='US')
Aeropuerto(id='00IN', nombre='heliport', latitud=41.51139831542969, longitud=-87.2605972290039, iso='US')
Aeropuerto(id='00IS', nombre='small_airport', latitud=40.02560043334961, longitud=-89.1229019165039, iso='US')
Aeropuerto(id='00KS', nombre='small_airport', latitud=38.72779846191406, longitud=-94.93049621582031, iso='US')
Aeropuerto(id='00KY', nombre='small_airport', latitud=37.409400939941406, longitud=-84.61969757080078, iso='US')
Aeropuerto(id='00LA', nombre='heliport', latitud=30.191944, longitud=-90.980833, iso='US')
Aeropuerto(id='00LL', nombre='heliport', latitud=39.66529846191406, longitud=-89.70559692382812, iso='US')
